size	colour	x	y	key	clickSelects	showSelected1	showSelected2	fill
2.14306812152599	#00C094	6.928	51.6086829268293	United Arab Emirates	United Arab Emirates	1960	Middle East & North Africa (all income levels)	#00C094
2.14971990828032	#00C094	6.91	52.6601463414634	United Arab Emirates	United Arab Emirates	1961	Middle East & North Africa (all income levels)	#00C094
2.15832237717556	#00C094	6.893	53.7608292682927	United Arab Emirates	United Arab Emirates	1962	Middle East & North Africa (all income levels)	#00C094
2.16773909545568	#00C094	6.877	54.9011951219512	United Arab Emirates	United Arab Emirates	1963	Middle East & North Africa (all income levels)	#00C094
2.17667967804186	#00C094	6.861	56.066243902439	United Arab Emirates	United Arab Emirates	1964	Middle East & North Africa (all income levels)	#00C094
2.18460077041992	#00C094	6.841	57.2364146341463	United Arab Emirates	United Arab Emirates	1965	Middle East & North Africa (all income levels)	#00C094
2.19133193601498	#00C094	6.816	58.3916585365854	United Arab Emirates	United Arab Emirates	1966	Middle East & North Africa (all income levels)	#00C094
2.19778631078689	#00C094	6.783	59.5129268292683	United Arab Emirates	United Arab Emirates	1967	Middle East & North Africa (all income levels)	#00C094
2.20575290977229	#00C094	6.738	60.5826829268293	United Arab Emirates	United Arab Emirates	1968	Middle East & North Africa (all income levels)	#00C094
2.21731671992652	#00C094	6.679	61.5878780487805	United Arab Emirates	United Arab Emirates	1969	Middle East & North Africa (all income levels)	#00C094
2.23347828409046	#00C094	6.605	62.5194878048781	United Arab Emirates	United Arab Emirates	1970	Middle East & North Africa (all income levels)	#00C094
2.25351685576426	#00C094	6.512	63.373	United Arab Emirates	United Arab Emirates	1971	Middle East & North Africa (all income levels)	#00C094
2.27625957281374	#00C094	6.402	64.1599512195122	United Arab Emirates	United Arab Emirates	1972	Middle East & North Africa (all income levels)	#00C094
2.30124801743937	#00C094	6.279	64.8883170731707	United Arab Emirates	United Arab Emirates	1973	Middle East & North Africa (all income levels)	#00C094
2.3280266852063	#00C094	6.146	65.5626341463415	United Arab Emirates	United Arab Emirates	1974	Middle East & North Africa (all income levels)	#00C094
2.35604249838059	#00C094	6.009	66.1853902439024	United Arab Emirates	United Arab Emirates	1975	Middle East & North Africa (all income levels)	#00C094
2.38538947556255	#00C094	5.873	66.7605853658537	United Arab Emirates	United Arab Emirates	1976	Middle East & North Africa (all income levels)	#00C094
2.41539479314648	#00C094	5.744	67.291243902439	United Arab Emirates	United Arab Emirates	1977	Middle East & North Africa (all income levels)	#00C094
2.44429481464895	#00C094	5.624	67.7853658536585	United Arab Emirates	United Arab Emirates	1978	Middle East & North Africa (all income levels)	#00C094
2.47024119507643	#00C094	5.517	68.2474634146342	United Arab Emirates	United Arab Emirates	1979	Middle East & North Africa (all income levels)	#00C094
2.49234846767166	#00C094	5.423	68.6840487804878	United Arab Emirates	United Arab Emirates	1980	Middle East & North Africa (all income levels)	#00C094
2.51048810586896	#00C094	5.344	69.0996097560976	United Arab Emirates	United Arab Emirates	1981	Middle East & North Africa (all income levels)	#00C094
2.52556190478726	#00C094	5.274	69.4961463414634	United Arab Emirates	United Arab Emirates	1982	Middle East & North Africa (all income levels)	#00C094
2.53899498985844	#00C094	5.209	69.8756829268293	United Arab Emirates	United Arab Emirates	1983	Middle East & North Africa (all income levels)	#00C094
